brand;model;pcd;dia
"Toyota";"Alphard, Avensis, Camry, Corolla, Highlander, RAV4, Venza";"5x114.3";60.1
"Lexus";"ES, GS, IS, LFA, NX, RC, RX, SC, UX, LC";"5x114.3";60.1
"AVATR";"11, 12";"5x114.3";60.1
"Changan";"CS55, CS55 PLUS, CS75 FL, CS75 PLUS, CS85, CS95, LAMORE, UNI-K, UNI-K iDD, UNI-S, UNI-T, UNI-V";"5x114.3";60.1
"Lifan";"Cebrium, Murman, Myway, X60, X70";"5x114.3";60.1
"SWM";"G01/G01F, G05 Pro";"5x114.3";60.1
"Hyundai";"ALCAZAR, AVANTE, AZERA, CRETA, CUSTIN, CUSTO, ELANTRA, GRAND CRETA, GRANDEUR, I30, IONIQ 5, IONIQ 6, IX35, KAUAI, KONA, LAFESTA, MUFASA, NEXO, PALISADE, SANTA CRUZ, SANTA FE, SONATA, STARGAZER, TUCSON, VENUE";"5x114.3";67.1
"Mitsubishi";"Airtrek, ASX, Delica D:5, Delica Space Gear, Delica Star Wagon, Delica Van, Dignity, Eclipse Cross, FTO, L300, Lancer, Lancer Evolution, Legnum, Outlander, Outlander Sport, Sigma, Space Gear, Triton, Verada";"5x114.3";67.1
"Kia";"Carens, Cadenza, Carnival, Cerato, Magentis, Opirus, Optima, Quoris, Sorento, Soul, Sportage, Venga, K5, K7, K9, K900, KX5, Niro, KX7, Stinger";"5x114.3";67.1
"Bestune";"B70, T55, T99, B50, B70, X40, X80";"5x114.3";67.1
"HAIMA";"3, 7, 7X";"5x114.3";67.1
"Hawtai";"Boliger";"5x114.3";67.1
"Hongqi";"H5, H9, HQ9, HS5";"5x114.3";67.1
"Infiniti";"EX, Q45, Q60, Q70, Q70L, VENUCIA V-Online";"5x114.3";66.1
"Chrysler";"200, 300C, 300M, Concorde, Sebring, Town & Country, Voyager";"5x114.3";71.5
"Haval";"Cool Dog, Dargo, F7, F7x, H2, H3, H6, H6 Coupe, Jolion, M6, WEY 05";"5x114.3";64.1
"Daihatsu";"Terios, ORA 03, 03 GT";"5x114.3";66.6
"BMW";"1 серия E81, E87, F20, F21, F40, E88, E82, 2 серия F45, F23, F22, F44, F46, 3 серия E46, E90, F30, F35, F80, E46, E93, E92, F34, E91, F31, 4 серия F32, F82, F33, F83, F36, 5 серия E39, E60, E61, F10, F18, F07, F11, 6 серия E63, F13, E64, F12, F06, 7 серия E38, E65, E66, E67, F01, F02, F03, F04";"5x120";72.6
"BMW";"X1 E84, F48, X2 F39, X3 E83, F48, X4 F26, X5 E53, E70, F15, F85, X6 E71, E72, F16, F86";"5x120";74.1
"Volkswagen";"Transporter, Multivan";"5x120";65.1
"Lixiang";"L7, L8, L9";"5x120";62.6
"Lotus";"Eletre";"5x120";63.3
"Seres";"AITO M5, AITO M7, M5, M7, VOYAH Dream, Free, Passion";"5x120";66.1
"Volvo";"C30, C70, S40, S60, S70, S80, S90, V40 Cross Country, V50, V60, V70, V90, XC60, XC70, XC90";"5x120";63.4
"Jaguar";"F-Pace, F-Type, S-Type, X-Type, XE, XF, XJ, XK";"5x120";63.4
"Land Rover";"Discovery Sport, Freelander, Range Rover Evoque, Range Rover Velar";"5x120";63.4
"LYNK CO";"01, 05, 08, 09";"5x108";60.1
"Aion";"S Max, Y Plus, S Plus, Hyper GT, Hyper HT, Hyper SSR";"5x108";60.1
"Chery";"Arrizo 7, Arrizo 8, Bonus 3, Tiggo 2, Tiggo 3, Tiggo 4, Tiggo 5, Tiggo 7, Tiggo 7 PRO, Tiggo 7 PRO Max, Tiggo 7 PRO Plug-In Hybrid, Tiggo 8, Tiggo 8 PRO, Tiggo 8 PRO Max, Tiggo 8 PRO Plug-In Hybrid, Tiggo 9, EXEED LX, RX, TXL, VX, OMODA C5, S5, S5 GT, DONGFENG Aeolus Shine Max, AX-7";"5x108";65.1
"GAC";"GS3, GS5";"5x108";59.5
"JAC";"iEV7S, JS3, JS4, S3";"5x108";54.1
"ZEEKR";"001, 007, 009, X";"5x108";63.3
"ZOTYE";"Coupa, T600, Z300";"5x108";67.1
"BAIC";"U5 plus, X35, X55, X7, X75, DONGFENG 580, Fengon iX5, Fengon iX7";"5x110";67.1
"Changan";"CS35, CS35 PLUS, CS35 PLUS NEW, CS75, EADO, EADO Plus";"5x110";63.3
"HIPHI";"X, Z";"5x110";63.1
"Volkswagen";"Golf, Jetta, Passat, Passat CC, Tiguan, Polo";"5x112";57.1
"Audi";"A4, A5, A6, A7, A8, Q2, Q3, Q5, TT, E-Tron, R8, Q7, Q8";"5x112";66.6
"Jeep";"Commander, Grand Cherokee, Wrangler";"5x127";71.5
"Mercedes";"G Class W461, W463";"5x130";84.1
"Toyota";"Land Cruiser 200, Sequoia, Tundra";"5x150";110.1
"Ford";"Expedition, F-150, Lobo";"6x135";87.1
"Lexus";"GX 460, GX 470, Hilux, Land Cruiser Prado 120, Land Cruiser 300";"6x139.7";106.1
"BAIC";"BJ40 plus";"6x139.7";108.1

